종목구분,NO,시즌,라운드구분,라운드세부,일자, 요일구분,요일,채널구분,채널,남여구분,방송형태,홈,어웨이,시작시간,종료시간,방영길이,가구 시청률,케이블가구 시청률,개인 시청자수,MF2544,소속도시,구단홈구장
프로배구,63,2021-2022,정규리그,2라운드,2021-11-27 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,OK금융그룹,대한항공,13:54:48,15:39:36,01:44:49,0.33123,0.35314,67988.0,8071.0,부산광역시,부산금정체육관
프로배구,64,2021-2022,정규리그,2라운드,2021-11-28 00:00:00,주말,일요일,케이블,KBSN스포츠,여자부,생방송,한국도로공사,페퍼저축은행,15:52:55,18:04:01,02:11:07,1.14977,1.13723,199325.0,34033.0,김천시,김천실내체육관
프로배구,65,2021-2022,정규리그,2라운드,2021-11-28 00:00:00,주말,일요일,케이블,SBS Sports,남자부,생방송,KB손해보험,삼성화재,13:53:38,16:06:34,02:12:57,0.68801,0.81165,134081.0,22792.0,의정부시,의정부체육관
프로배구,66,2021-2022,정규리그,2라운드,2021-11-30 00:00:00,주중,화요일,케이블,KBSN스포츠,남자부,생방송,한국전력,대한항공,18:52:18,21:32:35,02:40:18,0.58538,0.71483,127392.0,24276.0,수원시,수원실내체육관
프로배구,67,2021-2022,정규리그,2라운드,2021-11-30 00:00:00,주중,화요일,케이블,SBS Sports,여자부,생방송,GS칼텍스,KGC인삼공사,18:53:45,20:38:14,01:44:30,0.98915,1.03039,209744.0,28324.0,서울특별시,장충체육관
프로배구,68,2021-2022,정규리그,2라운드,2021-12-01 00:00:00,주중,수요일,케이블,KBSN스포츠,남자부,생방송,우리카드,삼성화재,18:52:58,21:36:10,02:43:13,0.66876,0.89434,133366.0,19750.0,서울특별시,장충체육관
프로배구,69,2021-2022,정규리그,2라운드,2021-12-01 00:00:00,주중,수요일,케이블,SBS Sports,여자부,생방송,흥국생명,페퍼저축은행,18:52:11,21:08:08,02:15:58,1.03866,1.04228,238692.0,48172.0,인천광역시,인천삼산월드체육관
프로배구,70,2021-2022,정규리그,2라운드,2021-12-02 00:00:00,주중,목요일,케이블,KBSN스포츠,여자부,생방송,한국도로공사,IBK기업은행,18:52:30,20:31:34,01:39:05,1.00587,1.0124,206642.0,33853.0,김천시,김천실내체육관
프로배구,71,2021-2022,정규리그,2라운드,2021-12-02 00:00:00,주중,목요일,케이블,SBS Sports,남자부,생방송,KB손해보험,OK금융그룹,18:53:48,21:28:50,02:35:03,0.68793,0.93357,148238.0,32247.0,의정부시,의정부체육관
프로배구,72,2021-2022,정규리그,2라운드,2021-12-03 00:00:00,주중,금요일,케이블,KBSN스포츠,여자부,생방송,현대건설,KGC인삼공사,18:52:12,21:18:45,02:26:34,1.08332,1.07573,245177.0,67891.0,수원시,수원실내체육관
프로배구,73,2021-2022,정규리그,2라운드,2021-12-03 00:00:00,주중,금요일,케이블,SBS Sports,남자부,생방송,현대캐피탈,한국전력,18:54:20,21:37:17,02:42:58,0.61404,0.77251,142194.0,24126.0,천안시,천안유관순체육관
프로배구,74,2021-2022,정규리그,3라운드,2021-12-04 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,GS칼텍스,흥국생명,15:52:45,17:44:02,01:51:18,0.90067,0.92628,174286.0,29659.0,서울특별시,장충체육관
프로배구,75,2021-2022,정규리그,3라운드,2021-12-04 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,대한항공,우리카드,13:52:18,15:37:44,01:45:27,0.51699,0.73619,112179.0,32525.0,인천광역시,인천계양체육관
프로배구,76,2021-2022,정규리그,3라운드,2021-12-05 00:00:00,주말,일요일,지상파,KBS1,여자부,생방송,IBK기업은행,페퍼저축은행,13:39:01,15:11:51,01:32:51,2.24722,2.67193,482449.0,52442.0,화성시,화성실내체육관
프로배구,77,2021-2022,정규리그,3라운드,2021-12-05 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,OK금융그룹,삼성화재,15:46:44,18:33:59,02:47:16,0.41391,0.43827,70938.0,16145.0,부산광역시,부산금정체육관
프로배구,78,2021-2022,정규리그,3라운드,2021-12-05 00:00:00,주말,일요일,케이블,SBS Sports,남자부,생방송,OK금융그룹,삼성화재,15:49:24,18:39:42,02:50:19,0.56886,0.79705,124118.0,23521.0,부산광역시,부산금정체육관
프로배구,79,2021-2022,정규리그,3라운드,2021-12-07 00:00:00,주중,화요일,케이블,KBSN스포츠,남자부,생방송,KB손해보험,현대캐피탈,18:53:14,20:40:10,01:46:57,0.34444,0.34281,56023.0,4421.0,의정부시,의정부체육관
프로배구,80,2021-2022,정규리그,3라운드,2021-12-07 00:00:00,주중,화요일,케이블,SBS Sports,여자부,생방송,한국도로공사,현대건설,18:49:54,21:43:54,02:54:01,1.38495,1.55287,286335.0,58106.0,김천시,김천실내체육관
프로배구,81,2021-2022,정규리그,3라운드,2021-12-08 00:00:00,주중,수요일,케이블,KBSN스포츠,남자부,생방송,삼성화재,대한항공,18:53:06,21:34:35,02:41:30,0.65439,0.75121,127228.0,12579.0,대전광역시,대전충무체육관
프로배구,82,2021-2022,정규리그,3라운드,2021-12-08 00:00:00,주중,수요일,케이블,SBS Sports,여자부,생방송,페퍼저축은행,GS칼텍스,18:53:51,20:40:21,01:46:31,0.77757,0.73042,152997.0,28716.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,83,2021-2022,정규리그,3라운드,2021-12-09 00:00:00,주중,목요일,케이블,KBSN스포츠,남자부,생방송,한국전력,OK금융그룹,18:52:55,21:40:34,02:47:40,0.63472,0.79454,146332.0,35644.0,수원시,수원실내체육관
프로배구,84,2021-2022,정규리그,3라운드,2021-12-09 00:00:00,주중,목요일,케이블,SBS Sports,여자부,생방송,KGC인삼공사,IBK기업은행,18:54:29,20:46:57,01:52:29,1.18229,1.31703,221182.0,46000.0,대전광역시,대전충무체육관
프로배구,85,2021-2022,정규리그,3라운드,2021-12-10 00:00:00,주중,금요일,케이블,KBSN스포츠,남자부,생방송,우리카드,KB손해보험,18:52:55,21:07:31,02:14:37,0.52166,0.66154,106687.0,11894.0,서울특별시,장충체육관
프로배구,86,2021-2022,정규리그,3라운드,2021-12-10 00:00:00,주중,금요일,케이블,SBS Sports,여자부,생방송,흥국생명,한국도로공사,18:53:25,21:09:45,02:16:21,1.05092,1.01437,236219.0,54415.0,인천광역시,인천삼산월드체육관
프로배구,87,2021-2022,정규리그,3라운드,2021-12-11 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,현대건설,GS칼텍스,15:52:42,18:19:26,02:26:45,1.66523,1.93337,328869.0,39937.0,수원시,수원실내체육관
프로배구,88,2021-2022,정규리그,3라운드,2021-12-11 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,현대캐피탈,대한항공,13:53:55,15:40:27,01:46:33,0.7539,0.86717,150452.0,27380.0,천안시,천안유관순체육관
프로배구,89,2021-2022,정규리그,3라운드,2021-12-12 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,삼성화재,한국전력,13:53:19,16:07:08,02:13:50,0.90596,1.23983,178982.0,29989.0,대전광역시,대전충무체육관
프로배구,90,2021-2022,정규리그,3라운드,2021-12-12 00:00:00,주말,일요일,케이블,SBS Sports,여자부,생방송,페퍼저축은행,KGC인삼공사,15:55:31,17:39:26,01:43:56,1.06193,1.14774,196470.0,32086.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,91,2021-2022,정규리그,3라운드,2021-12-14 00:00:00,주중,화요일,케이블,KBSN스포츠,남자부,생방송,우리카드,현대캐피탈,18:53:01,21:24:04,02:31:04,0.76677,0.99923,161534.0,56284.0,서울특별시,장충체육관
프로배구,92,2021-2022,정규리그,3라운드,2021-12-14 00:00:00,주중,화요일,케이블,SBS Sports,여자부,생방송,흥국생명,현대건설,18:53:48,20:39:58,01:46:11,1.13837,1.11404,250168.0,42744.0,인천광역시,인천삼산월드체육관
프로배구,93,2021-2022,정규리그,3라운드,2021-12-15 00:00:00,주중,수요일,케이블,KBSN스포츠,여자부,생방송,GS칼텍스,IBK기업은행,18:52:46,20:26:14,01:33:29,0.85897,0.98286,179020.0,46111.0,서울특별시,장충체육관
프로배구,94,2021-2022,정규리그,3라운드,2021-12-15 00:00:00,주중,수요일,케이블,SBS Sports,남자부,생방송,대한항공,OK금융그룹,18:54:11,21:34:34,02:40:24,0.64728,0.81509,127035.0,25589.0,인천광역시,인천계양체육관
프로배구,95,2021-2022,정규리그,3라운드,2021-12-16 00:00:00,주중,목요일,케이블,KBSN스포츠,여자부,생방송,페퍼저축은행,한국도로공사,18:53:15,20:42:26,01:49:12,0.84704,0.96842,183014.0,33070.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,96,2021-2022,정규리그,3라운드,2021-12-16 00:00:00,주중,목요일,케이블,SBS Sports,남자부,생방송,삼성화재,KB손해보험,18:54:03,21:33:29,02:39:27,0.88909,1.08191,178813.0,29613.0,대전광역시,대전충무체육관
프로배구,97,2021-2022,정규리그,3라운드,2021-12-17 00:00:00,주중,금요일,케이블,KBSN스포츠,여자부,생방송,KGC인삼공사,현대건설,18:52:40,20:38:31,01:45:52,1.06356,1.15015,246185.0,47958.0,대전광역시,대전충무체육관
프로배구,98,2021-2022,정규리그,3라운드,2021-12-17 00:00:00,주중,금요일,케이블,SBS Sports,남자부,생방송,한국전력,현대캐피탈,18:54:14,21:15:36,02:21:23,0.6737,0.89052,141085.0,27800.0,수원시,수원실내체육관
프로배구,99,2021-2022,정규리그,3라운드,2021-12-18 00:00:00,주말,토요일,케이블,KBSN스포츠,남자부,생방송,OK금융그룹,우리카드,13:52:45,15:42:25,01:49:41,0.60083,0.69943,131227.0,33421.0,부산광역시,부산금정체육관
프로배구,100,2021-2022,정규리그,3라운드,2021-12-18 00:00:00,주말,토요일,케이블,SBS Sports,여자부,생방송,IBK기업은행,흥국생명,15:52:41,17:48:20,01:55:40,1.52387,1.62835,291352.0,54539.0,화성시,화성실내체육관
프로배구,101,2021-2022,정규리그,3라운드,2021-12-19 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,KB손해보험,대한항공,13:53:10,16:38:40,02:45:31,0.98195,1.37473,210489.0,30071.0,의정부시,의정부체육관
프로배구,102,2021-2022,정규리그,3라운드,2021-12-19 00:00:00,주말,일요일,케이블,SBS Sports,여자부,생방송,한국도로공사,GS칼텍스,15:54:30,18:16:28,02:21:59,1.55999,1.63698,308381.0,71535.0,김천시,김천실내체육관
프로배구,103,2021-2022,정규리그,3라운드,2021-12-21 00:00:00,주중,화요일,케이블,KBSN스포츠,여자부,생방송,흥국생명,KGC인삼공사,18:58:00,20:31:57,01:33:58,1.24988,1.26944,280834.0,66153.0,인천광역시,인천삼산월드체육관
